# Nb3Sn-like film: strong-coupling, dirty limit, fixed kappa
#
# Roughly the parameters of an Nb3Sn film. Still single-band and nodeless,
# but strongly coupled and in the dirty limit, so the analysis reports
# MODERATELY_STRONG. No Hc2 column, so a fixed kappa is used. The scatter on
# Jc is a realistic 3 %, at which the clean and dirty limits are NOT
# separable: the analysis reports MODELS_INDISTINGUISHABLE and declines to
# name a preferred model. That is the correct answer for data of this
# quality, and it is why this example is shipped alongside nbti_like.
#
# Synthetic data, generated by examples/generate.py from these values:
#     Tc            = 17.8 K
#     lambda(0)     = 120.0 nm
#     2 D(0)/kB Tc  = 4.3   ->  Delta(0) = 3.2979 meV
#     kappa         = 30.0
#     gap model     = DIRTY
#     Jc scatter    = 3 % (1 sigma, log-normal)
#
# A correct analysis recovers those values. That is what makes this
# usable as a regression fixture as well as a demonstration.
#
#              T_K      Jc_A_per_cm2
             1.068        3.0485e+07
           1.72067       2.99055e+07
           2.37333       2.92203e+07
             3.026       3.12401e+07
           3.67867        2.9341e+07
           4.33133       2.86576e+07
             4.984       2.90347e+07
           5.63667        2.8619e+07
           6.28933       2.93321e+07
             6.942       2.70355e+07
           7.59467       2.78263e+07
           8.24733       2.67667e+07
               8.9       2.55889e+07
           9.55267       2.44182e+07
           10.2053       2.27492e+07
            10.858       2.30873e+07
           11.5107       2.00873e+07
           12.1633       1.90546e+07
            12.816       1.63494e+07
           13.4687        1.4142e+07
           14.1213       1.21723e+07
            14.774       9.66711e+06
           15.4267       6.98596e+06
           16.0793       4.87882e+06
            16.732       2.26763e+06
